Review,Aspects,Sentiment
There is actually space to breathe and the decor sets the tone for an intimate dinner.,"['place', 'ambience', 'food']","['neutral', 'positive', 'positive']"
The atmosphere was really nice and inviting but our waiter was awful!,"['ambience', 'staff']","['positive', 'negative']"
"I always listen to the waiters' recommendations, because they're always awesome - either a special or just one of their faves off the menu.","['staff', 'menu']","['positive', 'neutral']"
"The decor is sparse and elegant, the service warm (though my waitress was occasionally difficult to find), and the sushi fresh.","['ambience', 'service', 'staff']","['positive', 'positive', 'negative']"
I waited 15 minutes for the waiter to take the bill from me and finally I got fed up with him walking past our table I had to start waving the bill in the air and finally some other waitress took our bill.,"['staff', 'ambience']","['negative', 'neutral']"
"Yes, the wait is long and ridiculous as times, especially as you watch others gobble down their food.","['service', 'food']","['negative', 'neutral']"
It was practically impossible to get the waitstaff's attention to order another bottle of wine.,"['staff', 'food']","['negative', 'neutral']"
"At our table we didn't get any bread until 30 minutes into the seating, which may I emphasize the waiter took really long to come to our table, about 20 minutes.","['place', 'staff']","['neutral', 'negative']"
"We were able to reserve a spot at the chef tasting bar with Morimoto who actually called in sick that night, but we were still charged full price.","['place', 'price']","['positive', 'negative']"
"Then, the waitress gave my wife coffee with regular milk in it even though my wife specifically requested Soy Milk.","['staff', 'food']","['negative', 'neutral']"
I thought I'd give the new place a try since it had an expanded menu and a more legit look.,"['place', 'menu']","['neutral', 'positive']"
*There is a pre-theatre dinner menu for early diners that is of great value.,"['menu', 'price']","['positive', 'neutral']"
"The prixe fix menu was a deal to boost downtown restaurants, atleast we didn't pay the full price.","['menu', 'price']","['positive', 'negative']"
"The steak au poivre certainly lives up to its lofty reputation, but it shuoldn't overshadow many of the other delicacies on the menu, such as the crab cakes and the frisee salad.","['food', 'menu']","['positive', 'neutral']"
"Waiter was a strange bird and when told we wanted to enjoy our dining experience and not be rushed through dinner, he assured us it takes 30 minutes to get entrees once food was ordered.","['staff', 'food']","['negative', 'positive']"
seems everyone ordered sushi there were tons of delivery orders (we can tell as we sat near the back).,"['food', 'service']","['neutral', 'positive']"
small price to pay to have dinner on a Saturday night in downtown Manhattan.,"['price', 'food']","['positive', 'neutral']"
The interior is understated making it special enough to take a date but easy enough to stop in anytime for dinner or snack.,"['place', 'food']","['positive', 'neutral']"
The situation was verified by taking 3 dishes that were over an hour late off the bill and free desserts and coffee but the experience left most of us never wanting to go to the supposed hip cool 66 ever again.,"['food', 'price']","['positive', 'neutral']"
"The wait was much shorter than the hostess quoted, which was great.","['service', 'staff']","['positive', 'neutral']"
"Though the menu is brief, entrees range from a deeply satisfying, wintry seared calf's liver with oven-dried tomatoes to a much lighter striped bass drizzled with textbook perfect beurre blanc.","['menu', 'food']","['neutral', 'positive']"
"When we got our food, the waitress barely said a word as she placed our take-out on the table and grabbed the check.","['food', 'staff', 'price']","['neutral', 'negative', 'neutral']"
Dropped in for a quick bite with a friend -- like the previous reviewer it took more than 15 minutes for any kind of service at all (including getting water) and then another 45 minutes to get a burger (which admittedly was good).,"['service', 'food']","['negative', 'neutral']"
"The only complaint I have is that the tables for 2 along the booth are very close together so it wasn't as romantic a dinner as we wanted but all in all, we were in our own world, more like in heaven.","['place', 'food']","['neutral', 'negative']"
"Ok the manager did stand at the bar the whole time looking like his wife left him, he lost all his money at the track and had been drinking the rest of the day.","['staff', 'place']","['negative', 'neutral']"
"By dessert, I gave up and sat there hopelessly watching as my rice pudding was snatched away half eaten, only to be replaced immediately with a hefty bill.","['food', 'price']","['neutral', 'negative']"
The waiter said they mixed it up because there were three similar things on the menu.,"['staff', 'menu']","['negative', 'neutral']"
") Scores of employees walking around, but no one seems to clear a plate or offer more drinks.","['staff', 'food']","['negative', 'neutral']"
"The manager also managed to insult one of my dining partners, even using an expletive to mock his last name when returning his credit card.","['staff', 'food']","['negative', 'neutral']"
"The waiter told us that he had checked with the kitchen because he noticed that we had not gotten our dinners and they said it would be out shortly, shouldn't someone have said something to us?","['staff', 'food']","['negative', 'neutral']"
"First of all, I think our service person was miffed that we couldn't order much for apps or drinks since we had already started at the bar.","['service', 'food', 'place']","['negative', 'neutral', 'neutral']"
"however, we went for lunch and were the only ones eating there and yet the service seemed eager for us to be done and to get out.","['food', 'service']","['neutral', 'negative']"
"Although the service was top notch, all of the food was disappointing: burnt octopus, bland ravioli, odd tasting mint love letters.","['service', 'food']","['positive', 'negative']"
"The place was packed, but it didn't effect our service or getting our food/drinks promptly.","['place', 'service']","['negative', 'positive']"
"The menu is slightly different from downtown, but they still have my favorites -- madai salad with hot sesame oil, shrimp kanzuri, the diamond roll, the crispy shrimp roll.","['menu', 'food']","['neutral', 'positive']"
"But servers, attentive if slightly unpolished, gladly direct inquisitors to menu strengths--like rum-flambeed dessert bananas foster--and allow leisurely enjoyment.","['staff', 'menu']","['positive', 'neutral']"
"SO I ASKED, TO SPEAK TO THE MANAGER, AND ONE OF THE OWNER WHO MANAGES THE PLACE CAME TO MY TABLE, TOLD ME THAT THE CEVICHE WAS FRESH.","['staff', 'food']","['neutral', 'positive']"
"It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.","['place', 'ambience']","['neutral', 'positive']"
"For example, we had ordered a 2nd bottle of red wine, the waitress gave me a new glass to taste the wine, but filled up my existing glass (mixing two different bottles in one glass).","['food', 'staff']","['neutral', 'negative']"
"I've never been during the dinner rush, whence I think most of the service complaints originate.","['food', 'service']","['neutral', 'negative']"
"the atmosphere is trendy, i think it's better to come here for a drink rather than dinner.","['ambience', 'food']","['positive', 'neutral']"
Our dinner took over two hours because of the slow service.,"['food', 'service']","['neutral', 'negative']"
Weekday lunch is less crowded and the staff cheerfully tolerated a 3-year-old.,"['food', 'staff']","['neutral', 'positive']"
"Favorites include the Curry Shrimp w/ Mushrooms, Watercress Salad (not listed on menu), and Kao Soy noodle soup with chicken.","['food', 'menu']","['positive', 'neutral']"
No bar only a waiting area with about 10 tables where you can have drinks prior to dinner.,"['place', 'food']","['negative', 'neutral']"
"although the food was good, the wait was so long; extremely snobby about seating you, we waited 45 min + for our reservation.","['food', 'place']","['positive', 'negative']"
"I was told(very snottily) no, but then not even 10 minutes later another group of people came in, asked the same thing and because the same woman waiter knew them she gave them regular menus!","['staff', 'menu']","['negative', 'neutral']"
It's so out there that it works--black-clad raver waiters and all--and even the most normal of groups love getting together for dinner and popular brunching on the palm-lined backyard patio spread.,"['staff', 'food']","['positive', 'neutral']"
We asked the server for two glasses with a splash of Southern Comfort and Grand Marnier.,"['staff', 'food']","['neutral', 'positive']"
"throughout the whole meal, all I kept thinking was AVERAGE, AVERAGE, AVERAGE until the bill came, which was a little more than average,to say the least.","['food', 'price']","['neutral', 'negative']"
Went to celebrate my sisters birthday on 9/11 was 1st taken back on the waiters rude answering of a question we had about the menu.,"['staff', 'menu']","['negative', 'neutral']"
There is no bar so therefore no place to wait except the lounge that was packed so after wondering where to stand the hostess grabbed us.,"['place', 'staff']","['neutral', 'negative']"
Before leaving the server gave us takeout menus.,"['staff', 'menu']","['positive', 'neutral']"
Service is one thing but a restaurant like Craft needs to have much better quality food for the price they charge.,"['service', 'food']","['neutral', 'positive']"
"The service was polite, friendly and prompt, the characters walking around entertained the kids but werent intrusive to our meal.","['service', 'food']","['positive', 'neutral']"
"If you've been out partying and have a yen for quality Korean food at 3:00am, there's a table waiting for you at Kang Suh Restaurant.","['food', 'service']","['positive', 'neutral']"
And that is a shame as the restaurant is a pizzeria with a very limited menu outside of pizza.,"['menu', 'food']","['negative', 'neutral']"
The waiter just slapped my food down and then never returned until he slapped my check down.,"['staff', 'food']","['negative', 'neutral']"
The bartenders could have been a lot nicer but the drinks they shook up kind of made up for their poor attitude.,"['staff', 'food', 'service']","['negative', 'positive', 'negative']"
"Hillarious lighting and ecclectic side dishes make you want to love the place, but the meal on the whole was abyssmal.","['place', 'food']","['positive', 'negative']"
"The Food The menu ably pulls off Bistro 101: The generous cheese plate makes a big enough starter for at least three people to share, and French onion soup is rich and decadent.","['food', 'menu']","['positive', 'neutral']"
"However for the price I paid to have dinner there, you would have thought I ate a horse.","['price', 'food']","['negative', 'neutral']"
All this Asian fusion craze leaves one feeling like they should've went to an authentic Thai or Indian restaurant for probably 1/3 of the price of Spice Market.,"['food', 'price']","['positive', 'neutral']"
I went with a friend from out the town - the best thing on the menu was the Veal.,"['menu', 'food']","['neutral', 'positive']"
One server came and gave us food that turned out to be someone else's.,"['staff', 'food']","['negative', 'neutral']"
Our experience consistently reflected a lazy attitude by the house towards cooking technique and customer care.,"['service', 'food']","['positive', 'neutral']"
The wine did not come until we were half way through our entree and the waitress overcharged us by a bottle of wine.,"['food', 'staff']","['neutral', 'negative']"
"service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.","['service', 'food']","['positive', 'neutral']"
"Enjoy the food, because it is remarkable, but don't be too willing to be gratuitis to a server that does not deserve it.","['food', 'staff']","['positive', 'negative']"
The waiter placed the wrong entree in front of us each time.,"['staff', 'food']","['neutral', 'negative']"
Gia Lam I' s service is not much better but the food was.,"['service', 'food']","['negative', 'positive']"
"The atmosphere was warm, sexy, and very romantic but the lighting wasn't good for reading the menu.","['ambience', 'menu']","['positive', 'neutral']"
"Forget the phony yuppies of Areos and The Pearl Room, and ENJOY the down home service and OUTSTANDING food here.","['place', 'service', 'food']","['neutral', 'positive', 'positive']"
"The Chinese menu is gone, along with most of the good dishes.","['menu', 'food']","['neutral', 'positive']"
the waiter was unable to identify whether certain cheeses from the cheese course were cow or goat milk.,"['staff', 'food']","['negative', 'neutral']"
"Ziti Bolognese is baked in a similar sauce, with ground meat mixed in and cheese melted on top--the menu offers many variations on this theme.","['food', 'menu']","['neutral', 'positive']"
I just got back from dinner from this UES hotspot - it is like a home away from home - delicious meals and a salad dressing that sometimes they let me have a tiny container of for my lunch at work salads - the price/ atmosphere/ cocktails (FULL BAR!!!,"['food', 'ambience', 'place']","['positive', 'positive', 'neutral']"
"Food was served very promptly, but our wait for drinks was surprisingly long.","['service', 'food']","['negative', 'neutral']"
While waiting there was no room for standing and the bar staff and their drinks were horrendous.,"['service', 'staff', 'food']","['neutral', 'negative', 'negative']"
The word chicken was barely out of my mouth when the waiter rushed away from my table without asking me about side orders or a drink.,"['food', 'staff']","['neutral', 'negative']"
"The decor maybe great for young kids but as an adult this place was an horrible experiance, it didn't bring the kid in me.","['ambience', 'place']","['positive', 'negative']"
"Del Frisco's is pricey and I was seated in a leper locker room area, but the food was totally fantastic.","['place', 'food']","['negative', 'positive']"
"The waitress was no where to be found at all throughout the course of the meal, did not refill a single drink nor did she bother to inquire about my satisfaction with the food or even bring the check at the conclusion of the meal.","['staff', 'food']","['negative', 'neutral']"
The waiter was rude to my friend when she asked for a small plate to share an appetizer.,"['staff', 'food']","['negative', 'neutral']"
The service was slow (10 minutes for drinks??),"['service', 'food']","['negative', 'neutral']"
"Our waiter, though he was charming,was too busy to truly take care of us properly and the food was over priced.","['staff', 'food']","['positive', 'negative']"
The staff forgot my girlfriend's food altogether as she waited for half an hour.,"['staff', 'food']","['negative', 'neutral']"
"I have tried everything available on the AYCE menu, it has all been quite good (although I am not one to be especially particular with food, sushi in particular.","['menu', 'food']","['neutral', 'positive']"
"The service was not the greatest, but the place is huge and it has a nice setting.","['service', 'place', 'ambience']","['negative', 'positive', 'positive']"
"The service is not very good, but I find that we try Atlantic Grill at least once a year.","['service', 'food']","['negative', 'positive']"
"One night we landed at the bar for a late night dinner, and the hanger steak and frites w/ marjoram aioli was the BEST.","['place', 'food']","['neutral', 'positive']"
"I have to agree with the previous review that the atmosphere isn't much, but Mister Falafel can't be beat for quick, delicious, cheap takeout.","['ambience', 'food']","['negative', 'positive']"
"However, you don't even really need the menu, because the daily specials are always tempting and delicious.","['menu', 'food']","['neutral', 'positive']"
The service is ok since it is new and the staff didn't know the food items too well.,"['service', 'staff', 'food']","['positive', 'negative', 'neutral']"
"We orderes and our food took about 1 hour to get it, after the long wait.","['food', 'service']","['neutral', 'negative']"
Be warned - between the pizza and spumoni the place is packed nightly in the summer.,"['food', 'place']","['neutral', 'negative']"
"We had hot buffalo tenders for an appetizer, and the waitress didn't bother to come back to check on how we were doing on drinks.","['food', 'staff']","['neutral', 'negative']"
And price is over value for two persons dinner $ 90.,"['price', 'food']","['negative', 'neutral']"
"The owners are incredibly nice too, comping pitchers of margaritas if you sit there and eat for a couple of hours.","['staff', 'food']","['positive', 'neutral']"
The atmosphere would have been almost perfect if it werent for the fact that we were seat right naext to the noisy kitchen but I guess the speedy service comes with a price.,"['place', 'service']","['negative', 'positive']"
"After my friend and I were seated, we were greeted by a gorgeous waitress, who helped us make our way through the large selection of choices on the menu.","['staff', 'menu']","['positive', 'neutral']"
Our waiter was completely unfamiliar with the menu and did not bother to tell us that they were out of several items (even though we arrived at 7 pm on a Saturday night!),"['staff', 'menu']","['negative', 'neutral']"
"Food was at best, mediocre and when the bill finally came they had nerve to add on 20% gratuity even though there was nothing stated on the menu or anywhere that gratuity was included for a party of 5 (usually a party of 6 is gratuity inclusive).","['price', 'menu', 'food']","['neutral', 'neutral', 'negative']"
"And when I received my $9 glass of wine, I had to ask the waitress if she planned on putting more in -- there was hardly any liquid in the glass!","['food', 'staff']","['neutral', 'negative']"
"We were seated next to some obnoxious women who bogarted the server's time and attention, so he bought us drinks.","['staff', 'food']","['negative', 'neutral']"
"From chicken wings and smoked beef brisket to pulled pork and Texas links, the menu features many barbecue favorites.","['food', 'menu']","['positive', 'neutral']"
"The Food The menu seems quirky, but upon a closer look ingredients are familiar and made into appealing combinations, with influences from Maine to the Mediterranean.","['food', 'menu', 'ambience']","['positive', 'positive', 'neutral']"
"While admitably, the seating is a bit cramped, and the menu a tad pricey, the staff does its best to remedy concerns.","['place', 'staff']","['negative', 'positive']"
I couple of weeks ago we went to Supper in the east village and it was so bad that we got up and left and the only way to save the evening of horrible food was to go to Blue Ribbon Bakery and have at least one thing off the menu.,"['food', 'menu']","['negative', 'neutral']"
employees not fighting with each other in front of clients 3 having ALL the ingredients for the meals they have on there menue.,"['staff', 'ambience']","['negative', 'neutral']"
"A hard-drinking, upscale crowd, holding conversations over loud Latin jazz music, packs the small, open dining room and attached bar.","['ambience', 'place']","['negative', 'neutral']"
"Beautifull people, and a dj that was making me just want to stay and drink more!","['staff', 'food']","['positive', 'neutral']"
Good place for groups of four or large parties but it is not a cozy/intimate setting for 2 although the jazz helps!,"['place', 'ambience']","['positive', 'negative']"
"We got seated right away, We got a nice starter from the kitchen, unfortunately the waiter that brought it could not explain what it was, it was delicious though.","['food', 'place', 'staff']","['positive', 'neutral', 'negative']"
"Her attitude put a damper on the evening, as did the stares from some servers when we took a peek into the cheese cellar.","['staff', 'food']","['negative', 'neutral']"
"We had to ask the busboy if bread came with our meal, which it did and we received after waiting about 30 minutes.","['staff', 'food', 'service']","['neutral', 'neutral', 'negative']"
Yet the maitre d still sat us next to the bar.,"['staff', 'place']","['negative', 'neutral']"
"We arrived, were greeeted and sked by the hostess I think if we were there for the Brunch, that was starting up again on today(3/12) the cost $25 per person.","['staff', 'food']","['positive', 'neutral']"
"And once the bill was paid, the bartender kept on giving us drinks.","['price', 'staff', 'food']","['neutral', 'positive', 'neutral']"
The bartender had offered us ONE beer on the house for our troubles.,"['staff', 'food']","['positive', 'neutral']"
We had to request water and chips (tostades) and salsa three times (the third time my date had to go and track down the waitress) before finally being served (by the busser) and the place wasn't even a quarter full.,"['food', 'staff', 'service', 'place']","['neutral', 'negative', 'neutral', 'negative']"
"When we ordered our Margaritas, the waiter said $10, so we gave him a 20 and waited, and when he didn't give us our change, we asked and he said - Happy Hour's over, they're $10 each.","['food', 'staff']","['neutral', 'negative']"
We objected at the ill flavor of the drinks and the manager was not understanding at all.,"['ambience', 'food', 'staff']","['negative', 'neutral', 'negative']"
"Great tasting meat, intimate if slightly noisy ambience and the service is slightly less attentive than it could be but is done with charm.","['food', 'service']","['positive', 'negative']"
"I STRONGLY recommend to try something other than typical menu items and go for the short ribs over rice, black cod, sea bass, or duck (there are two dishes that are great).","['menu', 'food']","['neutral', 'positive']"
The food was great but the music was loud and hip-hop and the wait was ridiculous and the prices were out of this world.,"['food', 'service']","['positive', 'negative']"
"Invited by friends to discuss business, I checked out the bar first, and didn't give my nme which was known to the owners Scott Heather.","['place', 'staff']","['neutral', 'negative']"
There were a lot of scensters who couldnt afford dinner hanging in the waiting area so we got bumped around a lot.,"['food', 'place']","['negative', 'neutral']"
"I had high hopes for this high-ranked wonder, only to be let down by inattentive service doubled by LONG food and drink wait times.","['food', 'service']","['neutral', 'negative']"
"In any case, the food was quite yummy and on monday nights, they have a prix fixe $25 dinner which is definitely a deal.","['food', 'price']","['positive', 'neutral']"
The menu might have well been written in a foreign language and the wait staff didnt have a translation dictionary!,"['menu', 'staff']","['neutral', 'negative']"
The Food There's something for fish fans of every stripe on the lengthy menu.,"['food', 'menu']","['positive', 'neutral']"
"At one point, we tried to get our waitresses attention and she ignored us and than we asked for more biscuits and never got them.","['staff', 'food']","['negative', 'neutral']"
"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.","['food', 'staff']","['neutral', 'negative']"
Staff would not change a meal to accomadidate food allegeries.,"['staff', 'food']","['negative', 'neutral']"
The manager finally came by to apologize and offered to give us a greek salad on the house.,"['staff', 'food']","['positive', 'neutral']"
"Helpings are HUGE and most come with choice of rice and beans, or salad and plantains.","['service', 'food']","['positive', 'neutral']"
Sometimes when I come home from work I stop at the bar to have a plate of oysters and something delicious for dinner.,"['place', 'food']","['neutral', 'positive']"
"The waiter was pretty anxious to get us in-and-out, although there were ample tables and my friend and I opted to sit at the bar.","['staff', 'place']","['negative', 'neutral']"
The waitress waited until I went to the bathroom to ask my friend to order more food.,"['staff', 'food']","['negative', 'neutral']"
"Everything on the menu is worth trying at least once, from the calamari/zucchini appetizer, to the homemade cavatelli, to the rib eye steak (like butter!)","['menu', 'food']","['positive', 'neutral']"
"For the high price you would pay (dinner for the two could run $80), you sure do get alot.","['price', 'food']","['negative', 'neutral']"
"This time, the service was decent and the food was mediocre at best.","['service', 'food']","['positive', 'negative']"
"The garden is lovely, too, but the staff seems a bit condescending.","['place', 'staff']","['positive', 'negative']"
The advertised unlimited mimosas and bloody marys is too good to be true until you realize that they keep down your drink count because the service is so slow.,"['food', 'service']","['positive', 'negative']"
"finally, onto dessert, wherebv the waiter told us he would have to scrape the bottom to give us any ice cream.","['food', 'staff']","['neutral', 'negative']"
"Great place for either appetizers and drinks at the bar, a romantic dinner or late night partying.","['food', 'place']","['positive', 'neutral']"
Not ony did our waiter impose on the dessert we were trying to enjoy to take the money -- he didn't even ask us if we wanted change -- nor did he bring us back any!!!,"['staff', 'food', 'price']","['negative', 'neutral', 'neutral']"
"18 has a cozy romantic atmosphere that's very comfortable to enjoy myself in; whether I want to have a drink at the bar or get together with a group of friends for dinner, suitable accomodations are available.","['ambience', 'place']","['positive', 'neutral']"
"As well, I haven't eaten animal products in over 6 years and the waiter was not sure which dishes had honey or casien in the food.","['staff', 'food']","['negative', 'neutral']"
We were however seated right away and was immediately told by our waiter that they were out of sparking mineral water.,"['staff', 'food']","['negative', 'neutral']"
"The limited number of toppings prevented the sogginess described by other reviewers and allowed the intense flavors from the fresh ingredients; sauce, mozarella, basil and black olives to really shine through, without being watered down from too many extra toppings.","['ambience', 'food']","['positive', 'neutral']"
"We went on a Monday night around 6:30pm and were seated right away in the backroom, which is dimly-lit, casual, cozy--kind of felt like you were sitting in a spacious dining galley of a ship or a cabin.","['service', 'food']","['neutral', 'positive']"
"The service can be lacking at times, but the desserts and overall experience certainly counter this flaw.","['service', 'food']","['negative', 'positive']"
"As for the menu, I've never been disappointed, but the Margarita chicken salad is my favorite.","['menu', 'food']","['neutral', 'positive']"
"At this level, I want my servers to know more than me about the food and I didn't get that sense.","['staff', 'food']","['negative', 'neutral']"
"Well i asked the server to describe a certain wine for me,he seemed like he knew what he was talking about,till i tasted it,it was totally the opposite of what he described.","['staff', 'food']","['negative', 'neutral']"
As to the fact that everyone else's sushi looked better: the waitresses are not responsible for offering you what is CLEARLY written on the menu as Omakase - Chef's Choice.,"['food', 'staff', 'menu']","['positive', 'negative', 'neutral']"
Owner Mary Redding keeps things fish camp-y with rod-and-reel rental prices and a list of rules on the backs of the menus.,"['staff', 'food', 'price', 'menu']","['neutral', 'neutral', 'positive', 'neutral']"
"The other steaks on the menu were $30-$40, so the waiter really should have told them the price of the special.","['menu', 'staff', 'price']","['neutral', 'negative', 'neutral']"
"When I questioned the purpose of waiting on this line, I was asked to leave the bar.","['service', 'place']","['neutral', 'negative']"
We waited forever for our bill but did have a nice conversation with one of our waitstaff during our meal.,"['price', 'staff']","['negative', 'positive']"
